EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE           ACTOR            TITLE

​ 4020135916 45037 | renamed | 2020-11-20T10:07:11Z | wanghao0225 | tensorflow version 2.2.0 ;question:WARNING:tensorflow:6 out of the last 11 calls to <function Model.make_predict_function.<locals>.predict_function at 0x0000023B864321F8> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings is likely due to passing python objects instead of tensors. Also, tf.function has experimental_relax_shapes=True option that relaxes argument shapes that can avoid unnecessary retracing. Please refer to https://www.tensorflow.org/tutorials/customization/performance#python_or_tensor_args and https://www.tensorflow.org/api_docs/python/tf/function for more details.
 4018590369 45018 | closed | 2020-11-20T00:58:31Z | copybara-service[bot] | Make open source CI closer to the internal tests.
 4018590359 45018 | merged | 2020-11-20T00:58:31Z | copybara-service[bot] | Make open source CI closer to the internal tests.
 4018590323 45018 | referenced | 2020-11-20T00:58:30Z | copybara-service[bot] | Make open source CI closer to the internal tests.
 4018506099 44646 | closed | 2020-11-20T00:22:43Z | copybara-service[bot] | Bug when a custom tf.keras.models.Model has multiple class inheritance
 4018497453 30114 | locked | 2020-11-20T00:19:13Z | tensorflow | Illegal instruction (core dumped)
 4018461828 45019 | subscribed | 2020-11-20T00:05:11Z | ymodak | Error while loading .jpg images. Please help
 4018461822 45019 | mentioned | 2020-11-20T00:05:11Z | ymodak | Error while loading .jpg images. Please help
 4018451291 44881 | subscribed | 2020-11-20T00:00:47Z | chelseaju | Exception: Some of the operators in the model are not supported by TensorFlow Flex runtime: Enter, Exit.
 4018451290 44881 | mentioned | 2020-11-20T00:00:47Z | chelseaju | Exception: Some of the operators in the model are not supported by TensorFlow Flex runtime: Enter, Exit.
 4018440151 45018 | labeled | 2020-11-19T23:56:20Z | advaitjain | Make open source CI closer to the internal tests.
 4018391254 43623 | subscribed | 2020-11-19T23:36:11Z | cheshire | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
 4018391251 43623 | mentioned | 2020-11-19T23:36:11Z | cheshire | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
 4018388868 44643 | subscribed | 2020-11-19T23:35:10Z | fchollet | let huber loss return the same dtype as inputs
 4018388866 44643 | mentioned | 2020-11-19T23:35:10Z | fchollet | let huber loss return the same dtype as inputs
 4018364258 44961 | subscribed | 2020-11-19T23:25:36Z | Saduf2019 | Quantization op for Reshape is not supported in keras
 4018364255 44961 | mentioned | 2020-11-19T23:25:36Z | Saduf2019 | Quantization op for Reshape is not supported in keras
 4018342955 45023 | assigned | 2020-11-19T23:17:22Z | ravikyram | Invalid argument:  assertion failed: [Unable to decode bytes as JPEG, PNG, GIF, or BMP]
 4018298126 35451 | subscribed | 2020-11-19T23:01:52Z | rmothukuru | Error while trying to serilize Image Captioning keras model '_UserObject' object is not callable'
 4018298122 35451 | mentioned | 2020-11-19T23:01:52Z | rmothukuru | Error while trying to serilize Image Captioning keras model '_UserObject' object is not callable'
 4018259910 44710 | subscribed | 2020-11-19T22:48:37Z | nikitamaia | On-disk cache for compiled functions
 4018259902 44710 | mentioned | 2020-11-19T22:48:37Z | nikitamaia | On-disk cache for compiled functions
​ 4018227326 35451 | subscribed | 2020-11-19T22:37:21Z | rmothukuru | Error while trying to serilize Image Captioning keras model '_UserObject' object is not callable'
​ 4018227321 35451 | mentioned | 2020-11-19T22:37:21Z | rmothukuru | Error while trying to serilize Image Captioning keras model '_UserObject' object is not callable'
​ 4018204328 39036 | subscribed | 2020-11-19T22:30:05Z | bhack | Training Property on Keras Layers
​ 4018204320 39036 | mentioned | 2020-11-19T22:30:04Z | bhack | Training Property on Keras Layers
​ 4018195498 44281 | subscribed | 2020-11-19T22:27:31Z | adstep | Mirrored Strategy CUDA_ERROR_ILLEGAL_ADDRESS
​ 4018195496 44281 | mentioned | 2020-11-19T22:27:31Z | adstep | Mirrored Strategy CUDA_ERROR_ILLEGAL_ADDRESS
​ 4018170122 45022 | labeled | 2020-11-19T22:19:55Z | google-cla[bot] | [XLA] Lower TF/XLA overhead by creating less objects
​ 4018170089 45022 | review_requested | 2020-11-19T22:19:54Z | tensorflow-butler[bot] | [XLA] Lower TF/XLA overhead by creating less objects
​ 4018170056 45022 | labeled | 2020-11-19T22:19:53Z | tensorflow-butler[bot] | [XLA] Lower TF/XLA overhead by creating less objects
​ 4018169960 45022 | subscribed | 2020-11-19T22:19:51Z | cheshire | [XLA] Lower TF/XLA overhead by creating less objects
​ 4018169955 45022 | mentioned | 2020-11-19T22:19:51Z | cheshire | [XLA] Lower TF/XLA overhead by creating less objects
​ 4018154681 44281 | labeled | 2020-11-19T22:15:21Z | nikitamaia | Mirrored Strategy CUDA_ERROR_ILLEGAL_ADDRESS
​ 4018154680 44281 | unlabeled | 2020-11-19T22:15:21Z | nikitamaia | Mirrored Strategy CUDA_ERROR_ILLEGAL_ADDRESS
​ 4018120673 44933 | labeled | 2020-11-19T22:05:49Z | aaudiber | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4018120670 44933 | unlabeled | 2020-11-19T22:05:49Z | aaudiber | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4018107519 44873 | assigned | 2020-11-19T22:02:13Z | aaudiber | TF Dataset performance regression / best practices for data augmentation on the accelerator
​ 4018107508 44873 | unassigned | 2020-11-19T22:02:13Z | nikitamaia | TF Dataset performance regression / best practices for data augmentation on the accelerator
​ 4018049578 45021 | assigned | 2020-11-19T21:46:13Z | amahendrakar | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4018049490 45021 | labeled | 2020-11-19T21:46:12Z | skribm9 | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4018042512 40622 | assigned | 2020-11-19T21:44:19Z | gagika | tf.tpu.experimental.initialize_tpu_system fails to work on nightly builds
​ 4018041879 40622 | subscribed | 2020-11-19T21:44:08Z | gagika | tf.tpu.experimental.initialize_tpu_system fails to work on nightly builds
​ 4018041875 40622 | mentioned | 2020-11-19T21:44:08Z | gagika | tf.tpu.experimental.initialize_tpu_system fails to work on nightly builds
​ 4018032428 44194 | labeled | 2020-11-19T21:42:24Z | nikitamaia | tf.keras.layers.Embedding forces CPU placement if eager execution is enabled and GPUs are present.
​ 4018021393 44987 | labeled | 2020-11-19T21:39:42Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4018021390 44987 | unlabeled | 2020-11-19T21:39:42Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4018020374 42134 | unlabeled | 2020-11-19T21:39:27Z | kokoro-team | [TFLite] Fix potential overflow in 64-bit MultiplyByQuantizedMultiplier function
​ 4018019770 44987 | subscribed | 2020-11-19T21:39:17Z | MaxiBoether | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4018019761 44987 | mentioned | 2020-11-19T21:39:17Z | MaxiBoether | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4018017119 42134 | labeled | 2020-11-19T21:38:31Z | tensorflow-butler[bot] | [TFLite] Fix potential overflow in 64-bit MultiplyByQuantizedMultiplier function
​ 4018017117 42134 | labeled | 2020-11-19T21:38:31Z | tensorflow-butler[bot] | [TFLite] Fix potential overflow in 64-bit MultiplyByQuantizedMultiplier function
​ 4018007349 38465 | subscribed | 2020-11-19T21:36:17Z | gowthamkpr | ValueError specifying TensorSpec names while using model.save
​ 4018007337 38465 | mentioned | 2020-11-19T21:36:17Z | gowthamkpr | ValueError specifying TensorSpec names while using model.save
​ 4017935359 42916 | subscribed | 2020-11-19T21:16:28Z | eternalphane | Failed to convert SparseTensor to Tensor
​ 4017935357 42916 | mentioned | 2020-11-19T21:16:28Z | eternalphane | Failed to convert SparseTensor to Tensor
​ 4017892126 44933 | labeled | 2020-11-19T21:03:57Z | jvishnuvardhan | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4017891899 44933 | assigned | 2020-11-19T21:03:53Z | aaudiber | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4017891895 44933 | unassigned | 2020-11-19T21:03:53Z | jvishnuvardhan | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4017889593 44944 | labeled | 2020-11-19T21:03:16Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017850765 41733 | subscribed | 2020-11-19T20:52:41Z | avitebskiy | Implemented TFLogSinks
​ 4017850762 41733 | mentioned | 2020-11-19T20:52:41Z | avitebskiy | Implemented TFLogSinks
​ 4017835124 41733 | moved_columns_in_project | 2020-11-19T20:48:15Z | copybara-service[bot] | Implemented TFLogSinks
​ 4017835059 41733 | closed | 2020-11-19T20:48:14Z | copybara-service[bot] | Implemented TFLogSinks
​ 4017835052 41733 | merged | 2020-11-19T20:48:13Z | copybara-service[bot] | Implemented TFLogSinks
​ 4017834927 41733 | referenced | 2020-11-19T20:48:11Z | copybara-service[bot] | Implemented TFLogSinks
​ 4017827617 44944 | subscribed | 2020-11-19T20:46:10Z | Neel1994 | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017827614 44944 | mentioned | 2020-11-19T20:46:10Z | Neel1994 | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017622477 45020 | assigned | 2020-11-19T19:51:24Z | Saduf2019 | Building r2.3 branch fails on Windows 10 x64
​ 4017622381 45020 | labeled | 2020-11-19T19:51:22Z | Masterchef365 | Building r2.3 branch fails on Windows 10 x64
​ 4017601694 44176 | subscribed | 2020-11-19T19:46:06Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4017601685 44176 | mentioned | 2020-11-19T19:46:06Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4017598992 45019 | assigned | 2020-11-19T19:45:26Z | ravikyram | Error while loading .jpg images. Please help
​ 4017598890 45019 | labeled | 2020-11-19T19:45:24Z | Liquidten | Error while loading .jpg images. Please help
​ 4017585812 44767 | labeled | 2020-11-19T19:41:54Z | tensorflow-butler[bot] | **kwargs weights - Initialization Layer
​ 4017584214 42134 | unlabeled | 2020-11-19T19:41:29Z | tensorflow-butler[bot] | [TFLite] Fix potential overflow in 64-bit MultiplyByQuantizedMultiplier function
​ 4017495578 43547 | subscribed | 2020-11-19T19:17:24Z | srjoglekar246 | Cannot use Hexagon delegate in Samsung S20 ultra. Failed to fetch Hexagon NN version. 
​ 4017495573 43547 | mentioned | 2020-11-19T19:17:24Z | srjoglekar246 | Cannot use Hexagon delegate in Samsung S20 ultra. Failed to fetch Hexagon NN version. 
​ 4017471622 44996 | labeled | 2020-11-19T19:10:53Z | jvishnuvardhan | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
 4017471113 44996 | assigned | 2020-11-19T19:10:46Z | stellaraccident | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
 4017471106 44996 | unassigned | 2020-11-19T19:10:46Z | jvishnuvardhan | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
 4017440418 37823 | labeled | 2020-11-19T19:02:34Z | Saduf2019 | How to solve this problem？（c++ tensorflow+opencv ）
 4017439570 38062 | labeled | 2020-11-19T19:02:22Z | Saduf2019 | A bug: TFLite post-training quantization with calibration
 4017438479 38107 | labeled | 2020-11-19T19:02:07Z | Saduf2019 |  https://www.tensorflow.org/install/errors
 4017436950 38518 | labeled | 2020-11-19T19:01:45Z | Saduf2019 | InvalidArgumentError: assertion failed: [0] [Op:Assert] name: EagerVariableNameReuse
 4017432869 37860 | labeled | 2020-11-19T19:00:45Z | Saduf2019 | freezing tensorflow model
 4017432078 38341 | labeled | 2020-11-19T19:00:30Z | Saduf2019 | RuntimeError: Encountered unresolved custom op: Dilation2D.Node number 2 (Dilation2D) failed to prepare
 4017431056 36789 | labeled | 2020-11-19T19:00:14Z | Saduf2019 | image-utils
 4017429472 38281 | labeled | 2020-11-19T18:59:51Z | Saduf2019 | TFlite
 4017428406 38485 | labeled | 2020-11-19T18:59:33Z | Saduf2019 | How to obtain the activation value of neural network in Tensorflow 2.0?
 4017427618 38522 | labeled | 2020-11-19T18:59:21Z | Saduf2019 | When imports tensorflow, there is an error.
 4017426762 38603 | labeled | 2020-11-19T18:59:09Z | Saduf2019 | tensorflow.python.framework.ops
 4017426028 38747 | labeled | 2020-11-19T18:58:58Z | Saduf2019 | tf.experimental.tensorrt.Converter sample code not working in tf 2.1.0
 4017423746 36651 | labeled | 2020-11-19T18:58:30Z | Saduf2019 | VALUE error
 4017421464 38764 | labeled | 2020-11-19T18:57:56Z | Saduf2019 | tpu lstm
 4017419679 38780 | labeled | 2020-11-19T18:57:28Z | Saduf2019 | gather nd op does not support string input
 4017418483 38907 | labeled | 2020-11-19T18:57:09Z | Saduf2019 | %%bash cd models/research/ protoc object_detection/protos/*.proto --python_out= ./object_detection/protos/anchor_generator_pb2.py: Permission denied
 4017412555 39664 | labeled | 2020-11-19T18:55:34Z | Saduf2019 | tflite_interpreter.invoke() give error for 2 input tensors
 4017411848 41257 | closed | 2020-11-19T18:55:24Z | 8bitmp3 | Configuring `TF_CONFIG` in practice + a small "bug" in the Multi-worker training with Keras tutorial
 4017411460 39165 | labeled | 2020-11-19T18:55:18Z | Saduf2019 | Invalid Argument Error with tf.math.add_n
 4017410697 39272 | labeled | 2020-11-19T18:55:07Z | Saduf2019 | embedding projector - mouse enter/out tooltip incorrect
 4017409821 39822 | labeled | 2020-11-19T18:54:54Z | Saduf2019 | Translation from frozen graph to lite model is incorrect when quantization is enabled.
 4017409149 39847 | labeled | 2020-11-19T18:54:42Z | Saduf2019 | tflite lstm
 4017408171 40102 | labeled | 2020-11-19T18:54:27Z | Saduf2019 | Exception: could not rewrite use of immutable bound input
 4017405748 39365 | labeled | 2020-11-19T18:53:48Z | Saduf2019 | interpreter.allocate_tensors() Failing for MNIST model with LocallyConnected2D layer
 4017404559 39001 | labeled | 2020-11-19T18:53:28Z | Saduf2019 | 'Sequential' object has no attribute '_get_save_spec'
 4017403601 39484 | labeled | 2020-11-19T18:53:12Z | Saduf2019 | Error while converting LSTM Models to TFLite Format
 4017402465 39291 | labeled | 2020-11-19T18:52:54Z | Saduf2019 | tensorflow updation issues 
 4017400707 39112 | labeled | 2020-11-19T18:52:27Z | Saduf2019 | TensorflowLite convertion Fatal error
 4017399595 38816 | labeled | 2020-11-19T18:52:09Z | Saduf2019 | Some of the operators in the model are not supported by the standard TensorFlow Lite runtime. If those are native TensorFlow operators, you might be able to use the extended runtime by passing --enable_select_tf_ops, or by setting target_ops=TFLITE_BUILTINS,SELECT_TF_OPS when calling tf.lite.TFLiteConverter(). Otherwise, if you have a custom implementation for them you can disable this error with --allow_custom_ops, or by setting allow_custom_ops=True when calling tf.lite.TFLiteConverter(). Here is a list of builtin operators you are using: ADD, CAST, EXPAND_DIMS, FILL, FULLY_CONNECTED, GATHER, LOGISTIC, MUL, NOT_EQUAL, PACK, RESHAPE, SHAPE, SOFTMAX, SPLIT, STRIDED_SLICE, TANH, TRANSPOSE, ZEROS_LIKE. Here is a list of operators for which you will need custom implementations: TensorListFromTensor, TensorListReserve, TensorListStack, While.
 4017394528 39544 | labeled | 2020-11-19T18:50:48Z | Saduf2019 | NEED FAST HELP! Tensorflow Training Error
 4017393355 39533 | labeled | 2020-11-19T18:50:33Z | Saduf2019 | Tensorflow 2.1.0 on Windows: No OpKernel was registered to support Op 'SparseMatMul'
 4017392478 39415 | labeled | 2020-11-19T18:50:20Z | Saduf2019 | TensorFlow Lite Cant convert my model to .lite version
 4017391591 39145 | labeled | 2020-11-19T18:50:07Z | Saduf2019 | TFLiteConverter
 4017390662 39376 | labeled | 2020-11-19T18:49:53Z | Saduf2019 | Does tensorflow 2.X provide functions similar to "tf.contrib.lookup.index_table_from_tensor" in TensorFlow 1.X?
 4017389609 39558 | labeled | 2020-11-19T18:49:39Z | Saduf2019 | Tf Lite conversion error
 4017388635 39564 | labeled | 2020-11-19T18:49:26Z | Saduf2019 | [RNN] Error Optimizing Tensorflow keras model
 4017387224 45018 | unlabeled | 2020-11-19T18:49:03Z | kokoro-team | Make open source CI closer to the internal tests.
 4017386974 39593 | labeled | 2020-11-19T18:48:59Z | Saduf2019 | How does delayed restoration of variables in tensorflow checkpoint restore work?
 4017386876 40289 | unlabeled | 2020-11-19T18:48:58Z | gbaned | Keras: Allow setting constant initializers using Python literals
 4017385457 39779 | labeled | 2020-11-19T18:48:35Z | Saduf2019 | tfa ReduceLROnPlateau callback from Tf keras is not recognizing cohen kappa metrics direction in 'Auto' mode
 4017384013 45018 | labeled | 2020-11-19T18:48:13Z | tensorflow-butler[bot] | Make open source CI closer to the internal tests.
​ 4017121533 43550 | labeled | 2020-11-19T17:41:48Z | amahendrakar | 'tf.Conv2D' op
​ 4017120487 43642 | labeled | 2020-11-19T17:41:31Z | amahendrakar | doc issue
​ 4017116562 44249 | labeled | 2020-11-19T17:40:36Z | amahendrakar | Failed to find the dnn implementation
​ 4017115982 44985 | renamed | 2020-11-19T17:40:28Z | yaochengji | xrt ops use bfc_allocator instead
​ 4017115753 44258 | labeled | 2020-11-19T17:40:24Z | amahendrakar | tflite file size is 1KB ?
​ 4017115752 44258 | unlabeled | 2020-11-19T17:40:24Z | amahendrakar | tflite file size is 1KB ?
​ 4017115147 44258 | labeled | 2020-11-19T17:40:16Z | amahendrakar | tflite file size is 1KB ?
​ 4017115137 44258 | labeled | 2020-11-19T17:40:16Z | amahendrakar | tflite file size is 1KB ?
​ 4017112167 44261 | labeled | 2020-11-19T17:39:35Z | amahendrakar | CMSIS repository always has to be downloaded an patched
​ 4017106161 44625 | labeled | 2020-11-19T17:38:15Z | amahendrakar | TFLite quantization aware converter - 'std.constant' op requires attribute's type ('tensor<1x64xf32>') to match op's return type
​ 4017106157 44625 | labeled | 2020-11-19T17:38:15Z | amahendrakar | TFLite quantization aware converter - 'std.constant' op requires attribute's type ('tensor<1x64xf32>') to match op's return type
​ 4017105432 44625 | subscribed | 2020-11-19T17:38:06Z | somyamohanty | TFLite quantization aware converter - 'std.constant' op requires attribute's type ('tensor<1x64xf32>') to match op's return type
​ 4017105427 44625 | mentioned | 2020-11-19T17:38:06Z | somyamohanty | TFLite quantization aware converter - 'std.constant' op requires attribute's type ('tensor<1x64xf32>') to match op's return type
​ 4017102770 44938 | assigned | 2020-11-19T17:37:28Z | renjie-liu | RuntimeError: tensorflow/lite/kernels/concatenation.cc:76 t->dims->data[d] != t0->dims->data[d] (32 != 1)Node number 23 (CONCATENATION) failed to prepare. Node number 30 (WHILE) failed to invoke.
​ 4017076660 44579 | labeled | 2020-11-19T17:31:21Z | amahendrakar | Floating-point models
​ 4017074651 44944 | assigned | 2020-11-19T17:30:57Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017074643 44944 | unassigned | 2020-11-19T17:30:57Z | Saduf2019 | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017073887 44944 | labeled | 2020-11-19T17:30:48Z | Saduf2019 | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017073883 44944 | unlabeled | 2020-11-19T17:30:48Z | Saduf2019 | tflite_runtime got installed successfully, however getting error while importing interpreter.
​ 4017072690 44918 | subscribed | 2020-11-19T17:30:36Z | jvishnuvardhan | Problems to convert a tensorflow model to TFLite
​ 4017072685 44918 | mentioned | 2020-11-19T17:30:35Z | jvishnuvardhan | Problems to convert a tensorflow model to TFLite
​ 4017072672 44918 | subscribed | 2020-11-19T17:30:35Z | karimnosseir | Problems to convert a tensorflow model to TFLite
​ 4017072667 44918 | mentioned | 2020-11-19T17:30:35Z | karimnosseir | Problems to convert a tensorflow model to TFLite
​ 4017072663 44918 | subscribed | 2020-11-19T17:30:35Z | edgarbc | Problems to convert a tensorflow model to TFLite
​ 4017072652 44918 | mentioned | 2020-11-19T17:30:35Z | edgarbc | Problems to convert a tensorflow model to TFLite
​ 4017069626 44931 | labeled | 2020-11-19T17:29:54Z | amahendrakar | Inconsistent code logic for Model.build
​ 4017069625 44931 | labeled | 2020-11-19T17:29:54Z | amahendrakar | Inconsistent code logic for Model.build
​ 4017069623 44931 | labeled | 2020-11-19T17:29:54Z | amahendrakar | Inconsistent code logic for Model.build
​ 4017066843 44941 | labeled | 2020-11-19T17:29:18Z | amahendrakar | Learn ML
​ 4017062843 35562 | labeled | 2020-11-19T17:28:29Z | amahendrakar | PEM routines:OPENSSL_internal:NO_START_LINE
​ 4017060898 44472 | assigned | 2020-11-19T17:28:04Z | ymodak | ByteBuffer is not a valid flatbuffer model
​ 4017060892 44472 | unassigned | 2020-11-19T17:28:04Z | Saduf2019 | ByteBuffer is not a valid flatbuffer model
​ 4017059848 35562 | subscribed | 2020-11-19T17:27:50Z | LyraWang | PEM routines:OPENSSL_internal:NO_START_LINE
​ 4017059842 35562 | mentioned | 2020-11-19T17:27:50Z | LyraWang | PEM routines:OPENSSL_internal:NO_START_LINE
​ 4017055048 44502 | referenced | 2020-11-19T17:26:49Z | copybara-service[bot] | Jacobian fails on gradient of tf.function with if-elif-else or nested tf.cond
​ 4017053850 44912 | assigned | 2020-11-19T17:26:33Z | ymodak | Avoid asymmetric quantization (uint8) support in Tensorflow Lite Micro as much as possible.
​ 4017053840 44912 | unassigned | 2020-11-19T17:26:33Z | Saduf2019 | Avoid asymmetric quantization (uint8) support in Tensorflow Lite Micro as much as possible.
​ 4017053044 35562 | labeled | 2020-11-19T17:26:24Z | amahendrakar | PEM routines:OPENSSL_internal:NO_START_LINE
​ 4017052490 35562 | assigned | 2020-11-19T17:26:17Z | amahendrakar | PEM routines:OPENSSL_internal:NO_START_LINE
​ 4017041954 44982 | unassigned | 2020-11-19T17:24:06Z | jvishnuvardhan | TF Lite LSH Projection returns different results on Big Endian and Little Endian Machines
​ 4017006068 44930 | subscribed | 2020-11-19T17:16:53Z | gbaned | TFLu - refactor apollo3
​ 4017006065 44930 | mentioned | 2020-11-19T17:16:53Z | gbaned | TFLu - refactor apollo3
​ 4017006062 44930 | subscribed | 2020-11-19T17:16:53Z | oclyke | TFLu - refactor apollo3
​ 4017006061 44930 | mentioned | 2020-11-19T17:16:53Z | oclyke | TFLu - refactor apollo3
​ 4016999496 44930 | labeled | 2020-11-19T17:15:37Z | advaitjain | TFLu - refactor apollo3
​ 4016987070 43566 | subscribed | 2020-11-19T17:13:14Z | advaitjain | TFLu: Port TFL detection postprocess operator
​ 4016987063 43566 | mentioned | 2020-11-19T17:13:14Z | advaitjain | TFLu: Port TFL detection postprocess operator
​ 4016985561 43566 | unlabeled | 2020-11-19T17:12:56Z | kokoro-team | TFLu: Port TFL detection postprocess operator
​ 4016983813 44998 | review_requested | 2020-11-19T17:12:34Z | geetachavan1 | [CherryPick:r2.4] add per_replica support for keras
​ 4016982832 44998 | review_requested | 2020-11-19T17:12:23Z | geetachavan1 | [CherryPick:r2.4] add per_replica support for keras
​ 4016981187 43566 | labeled | 2020-11-19T17:12:03Z | tensorflow-butler[bot] | TFLu: Port TFL detection postprocess operator
​ 4016980226 43566 | labeled | 2020-11-19T17:11:51Z | advaitjain | TFLu: Port TFL detection postprocess operator
​ 4016955306 44971 | unassigned | 2020-11-19T17:07:06Z | petewarden | Flexbuffers patching causing -Wnull-dereference
​ 4016954862 44971 | assigned | 2020-11-19T17:07:02Z | mansnils | Flexbuffers patching causing -Wnull-dereference
​ 4016954242 44971 | assigned | 2020-11-19T17:06:56Z | advaitjain | Flexbuffers patching causing -Wnull-dereference
​ 4016921529 45010 | subscribed | 2020-11-19T17:00:52Z | talumbau | Fix for TF Lite verifier, arg_min_max op and lsh_projection_test on Big Endian machine
​ 4016921526 45010 | mentioned | 2020-11-19T17:00:52Z | talumbau | Fix for TF Lite verifier, arg_min_max op and lsh_projection_test on Big Endian machine
​ 4016912311 45014 | labeled | 2020-11-19T16:59:10Z | ravikyram | Cannot use Hexagon delegate in Oneplus 6t. Failed to fetch Hexagon NN version. Not working since 18-Nov-2020.
​ 4016910962 45014 | subscribed | 2020-11-19T16:58:54Z | ibrahimgharyali | Cannot use Hexagon delegate in Oneplus 6t. Failed to fetch Hexagon NN version. Not working since 18-Nov-2020.
​ 4016910953 45014 | mentioned | 2020-11-19T16:58:54Z | ibrahimgharyali | Cannot use Hexagon delegate in Oneplus 6t. Failed to fetch Hexagon NN version. Not working since 18-Nov-2020.
​ 4016903678 45014 | labeled | 2020-11-19T16:57:36Z | ravikyram | Cannot use Hexagon delegate in Oneplus 6t. Failed to fetch Hexagon NN version. Not working since 18-Nov-2020.
​ 4016897098 45010 | renamed | 2020-11-19T16:56:25Z | Sidong-Wei | Fix for TF Lite verifier, arg_min_max op and lsh_projection_test on Big Endian machine
​ 4016888393 45009 | assigned | 2020-11-19T16:54:45Z | ymodak | TF Lite issue when loading a saved TF Lite model on platforms with different endianness
​ 4016888383 45009 | unassigned | 2020-11-19T16:54:45Z | ravikyram | TF Lite issue when loading a saved TF Lite model on platforms with different endianness
​ 4016887623 45009 | labeled | 2020-11-19T16:54:36Z | ravikyram | TF Lite issue when loading a saved TF Lite model on platforms with different endianness
​ 4016887621 45009 | labeled | 2020-11-19T16:54:36Z | ravikyram | TF Lite issue when loading a saved TF Lite model on platforms with different endianness
​ 4016881625 45015 | head_ref_force_pushed | 2020-11-19T16:53:31Z | pedro-r-marques | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016843705 44993 | unlabeled | 2020-11-19T16:46:35Z | kokoro-team | Include C logging API into part of the libtensorflow_framework.so
​ 4016839430 44993 | labeled | 2020-11-19T16:45:43Z | tensorflow-butler[bot] | Include C logging API into part of the libtensorflow_framework.so
​ 4016839429 44993 | labeled | 2020-11-19T16:45:43Z | tensorflow-butler[bot] | Include C logging API into part of the libtensorflow_framework.so
​ 4016839379 44993 | moved_columns_in_project | 2020-11-19T16:45:42Z | mihaimaruseac | Include C logging API into part of the libtensorflow_framework.so
​ 4016834119 45015 | labeled | 2020-11-19T16:44:38Z | google-cla[bot] | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016834079 45015 | unlabeled | 2020-11-19T16:44:38Z | google-cla[bot] | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016833680 45015 | head_ref_force_pushed | 2020-11-19T16:44:33Z | pedro-r-marques | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016821093 44598 | closed | 2020-11-19T16:41:59Z | tensorflow-butler[bot] | AssertionError t.graph == cond_graph using tf.GradientTape
​ 4016820976 44595 | closed | 2020-11-19T16:41:58Z | tensorflow-butler[bot] | How to implement Bidirectional GRU in Encoder
​ 4016820596 44783 | labeled | 2020-11-19T16:41:54Z | tensorflow-butler[bot] | boringssl: cc1plus: error: command line option '-Wmissing-prototypes' is valid for C/ObjC but not for C++ [-Werror]
​ 4016814874 45015 | labeled | 2020-11-19T16:40:40Z | google-cla[bot] | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016814681 45015 | labeled | 2020-11-19T16:40:37Z | tensorflow-butler[bot] | Do not call tf.shape on a ragged tensor when computing losses.
​ 4016814255 44946 | subscribed | 2020-11-19T16:40:31Z | connect2robiul | ValueError: Shapes (None, 1) and (None, 10) are incompatible
